Title,City,Date,Company Name,Salary,Company Website,Source,Job Type,Location,Job Link
Quant Developer - Macro Hedge Fund/Buy Side - (Python/C++),Bexley,2021-04-11 13:41:25.055564,Anson McCade,plus bonus / benefits,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Quant_Developer_-_Macro_Hedge_FundBuy_Side_-_PythonC.id10560715
"Python Developer, Associate, Aladdin Product Group",Beckenham,2021-04-12 08:47:53.317350,BlackRock,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Developer_Associate_Aladdin_Product_Group.id10731383
"Senior C# Developer - Hardware, Robotics",london,2021-04-15 14:36:43.041301,Shift F5 Limited,"£60,000 - £80,000 per annum",,reed.co.uk,"Permanent, full-time","London, South East England",https://www.reed.co.uk/jobs/senior-c-developer-hardware-robotics/42474966?source=searchResults
C# Developer,london,2021-04-15 14:36:43.049305,Hays Specialist Recruitment Limited,£600.00 - £625.00 per day,,reed.co.uk,"Contract, full-time","London, South East England",https://www.reed.co.uk/jobs/c-developer/42474984?source=searchResults
